Wavenumber,0-1,1-1,10-1,11-1,2-1,4-1,5-1,6-1,7-1,8-1,9-1
1039.1316,2450295.0,2186440.0,1926966.0,1915640.0,2056257.0,2031426.0,1916867.0,1946136.0,1936821.0,1931308.0,1972434.0
1040.3816,2442247.0,2183113.0,1924780.0,1913967.0,2054339.0,2029117.0,1914413.0,1944512.0,1935597.0,1930046.0,1970111.0
1041.6313,2450330.0,2187117.0,1921152.0,1910153.0,2053406.0,2025726.0,1910182.0,1940411.0,1930118.0,1926075.0,1965822.0
1042.8809,2482923.0,2205665.0,1919211.0,1909096.0,2063209.0,2028308.0,1911567.0,1941217.0,1930020.0,1924989.0,1964253.0
1044.1304,2547870.0,2240609.0,1918067.0,1907147.0,2078857.0,2031522.0,1912023.0,1939726.0,1927757.0,1923492.0,1963232.0
1045.3796,2657354.0,2298677.0,1915737.0,1904098.0,2105687.0,2035721.0,1912910.0,1938553.0,1928180.0,1920749.0,1960619.0
1046.6288,2837627.0,2393980.0,1912445.0,1901585.0,2151583.0,2045980.0,1915242.0,1938724.0,1925442.0,1919092.0,1958472.0
1047.8779,3125103.0,2547127.0,1912052.0,1901792.0,2225891.0,2064055.0,1923220.0,1943860.0,1927180.0,1918905.0,1957170.0
1049.1268,3539392.0,2765272.0,1910308.0,1898265.0,2329929.0,2088491.0,1932573.0,1947255.0,1927973.0,1918468.0,1956198.0
1050.3741,4046045.0,3019597.0,1908597.0,1896796.0,2448919.0,2116585.0,1943180.0,1952918.0,1931292.0,1918835.0,1956435.0
1051.6227,4433200.0,3188117.0,1905435.0,1894434.0,2519312.0,2129687.0,1947551.0,1954391.0,1929888.0,1916309.0,1953782.0
1052.8712,4442425.0,3152465.0,1903885.0,1890980.0,2490048.0,2116965.0,1940428.0,1950535.0,1925690.0,1912858.0,1951041.0
1054.1195,4064915.0,2934170.0,1899388.0,1889126.0,2379327.0,2085436.0,1924826.0,1940113.0,1918851.0,1908934.0,1947392.0
1055.3662,3541260.0,2667197.0,1897663.0,1884188.0,2251110.0,2051984.0,1908665.0,1928660.0,1911507.0,1903214.0,1942536.0
1056.6143,3089861.0,2453234.0,1893757.0,1882653.0,2152964.0,2027211.0,1896298.0,1920985.0,1905935.0,1900172.0,1938992.0
1057.8622,2768896.0,2303702.0,1891981.0,1880906.0,2086142.0,2009954.0,1887954.0,1914912.0,1903108.0,1897645.0,1936834.0
1059.1085,2552153.0,2204898.0,1889750.0,1879809.0,2041183.0,1999107.0,1882749.0,1910230.0,1899620.0,1894915.0,1934408.0
1060.3562,2406745.0,2136028.0,1887223.0,1876104.0,2011904.0,1988941.0,1877750.0,1906490.0,1896859.0,1892088.0,1932457.0
1061.6022,2308905.0,2090739.0,1883956.0,1873358.0,1988298.0,1983029.0,1871792.0,1902900.0,1892962.0,1887749.0,1927553.0
1062.8495,2244169.0,2059832.0,1882633.0,1871814.0,1974133.0,1978427.0,1869057.0,1899995.0,1891051.0,1886734.0,1925548.0
1064.0952,2201022.0,2040969.0,1881027.0,1871137.0,1967180.0,1975427.0,1867520.0,1899005.0,1890467.0,1885301.0,1926362.0
1065.3423,2171950.0,2024034.0,1878915.0,1867186.0,1957134.0,1970062.0,1864313.0,1895688.0,1886495.0,1880879.0,1921430.0
1066.5878,2154985.0,2015348.0,1876170.0,1864707.0,1950465.0,1966408.0,1860357.0,1892653.0,1883544.0,1878713.0,1919199.0
1067.8345,2148689.0,2014302.0,1876311.0,1864238.0,1951867.0,1966822.0,1860871.0,1892201.0,1883641.0,1879931.0,1919061.0
1069.0797,2141662.0,2007924.0,1870033.0,1860861.0,1948445.0,1963061.0,1856439.0,1887765.0,1878468.0,1873864.0,1915083.0
1070.3262,2140915.0,2007136.0,1870876.0,1859499.0,1947624.0,1962202.0,1855936.0,1887440.0,1878168.0,1873650.0,1915037.0
1071.571,2130697.0,2000776.0,1869042.0,1857168.0,1943326.0,1958356.0,1853559.0,1884710.0,1876211.0,1871332.0,1912670.0
1072.8158,2113256.0,1990877.0,1865780.0,1855173.0,1936406.0,1955136.0,1850720.0,1883030.0,1874779.0,1868679.0,1910481.0
1074.0619,2090934.0,1977968.0,1862984.0,1851085.0,1927274.0,1950149.0,1846844.0,1877491.0,1869956.0,1865487.0,1905392.0
1075.3064,2077524.0,1972744.0,1865177.0,1854718.0,1926642.0,1952895.0,1849079.0,1881374.0,1872461.0,1867409.0,1908424.0
1076.5507,2059899.0,1963116.0,1859932.0,1850015.0,1917599.0,1948120.0,1844120.0,1876839.0,1869507.0,1864127.0,1904366.0
1077.7948,2047242.0,1954430.0,1857988.0,1846743.0,1912708.0,1945218.0,1842348.0,1874875.0,1866204.0,1861965.0,1902309.0
1079.0388,2038555.0,1949910.0,1856890.0,1845682.0,1911404.0,1942636.0,1841436.0,1872354.0,1864270.0,1860934.0,1902098.0
1080.2843,2033538.0,1947308.0,1855832.0,1844580.0,1908086.0,1942161.0,1839657.0,1871840.0,1864050.0,1858032.0,1899595.0
1081.5281,2028945.0,1944881.0,1854773.0,1843342.0,1905757.0,1941160.0,1838178.0,1870287.0,1862938.0,1857259.0,1898277.0
1082.7717,2022834.0,1940302.0,1850494.0,1839498.0,1901488.0,1936133.0,1833283.0,1866411.0,1858234.0,1853940.0,1894906.0
1084.0151,2022433.0,1938967.0,1849549.0,1838243.0,1900244.0,1935899.0,1833073.0,1865957.0,1858099.0,1853541.0,1893257.0
1085.2584,2019548.0,1937705.0,1848168.0,1837277.0,1899024.0,1934163.0,1831512.0,1864182.0,1855692.0,1851810.0,1891762.0
1086.5017,2018873.0,1935698.0,1846247.0,1835820.0,1898100.0,1932138.0,1829352.0,1862889.0,1854579.0,1850217.0,1891149.0
1087.7448,2020355.0,1936312.0,1846119.0,1835846.0,1898879.0,1932685.0,1830301.0,1863210.0,1854710.0,1849892.0,1891325.0
1088.9875,2018003.0,1934281.0,1843694.0,1832628.0,1895619.0,1930479.0,1827554.0,1860418.0,1852121.0,1847359.0,1886459.0
1090.2303,2014796.0,1932467.0,1841044.0,1830184.0,1893464.0,1927256.0,1824996.0,1857544.0,1848937.0,1844894.0,1885987.0
1091.473,2018397.0,1932807.0,1842057.0,1830740.0,1894232.0,1927964.0,1825685.0,1857805.0,1849572.0,1846013.0,1885334.0
1092.7156,2017647.0,1931723.0,1840942.0,1829823.0,1892610.0,1926081.0,1824345.0,1857065.0,1848940.0,1844525.0,1885323.0
1093.9579,2016078.0,1929103.0,1837642.0,1826362.0,1889692.0,1924590.0,1822517.0,1853934.0,1845914.0,1840510.0,1881279.0
1095.1986,2018477.0,1930824.0,1838398.0,1826276.0,1891022.0,1924812.0,1822405.0,1854746.0,1846713.0,1841241.0,1882801.0
1096.4407,2017111.0,1929304.0,1835375.0,1824978.0,1889297.0,1921584.0,1820294.0,1851482.0,1843626.0,1839086.0,1880371.0
1097.6826,2016315.0,1928853.0,1835871.0,1824359.0,1888674.0,1921840.0,1819337.0,1850969.0,1843694.0,1838098.0,1878919.0
1098.9243,2018187.0,1928063.0,1835075.0,1822483.0,1888341.0,1920965.0,1819121.0,1851493.0,1842700.0,1837474.0,1878175.0
1100.1646,2017322.0,1928095.0,1834013.0,1822736.0,1888471.0,1920290.0,1818924.0,1850318.0,1841789.0,1837580.0,1877792.0
