Wavenumber,1-ocp_02,10--1_2v_01,11--1_3v_01,12--1_4v_01,13--1_5v_01,14--1_6v_01,15--1_7v_01,16--1_8v_01,17--1_9v_01,18--1_7v-b_01,18--1_8v-b_01,19--1_6v-b_01,2--0_4v_01,20--1_5v-b_01,21--1_4v-b_01,22--1_3v-b_01,23--1_2v-b_01,24--1_1v-b_01,25--1v-b_01,26--0_9v-b_01,27--0_8v-b_01,28--0_7v-b_01,29--0_6v-b_01,3--0_5v_01,30--0_5v-b_01,31--0_4v-b_01,32--ocp-b_01,34--2v-b_01,4--0_6v_01,5--0_7v_01,6--0_8v_01,7--0_9v_01,8--1v_01,9--1_1v_01
34.8022,1409.09,2047.03,1891.13,1815.24,1742.63,1731.94,1797.75,1752.46,1725.51,1419.77,1462.39,1386.26,1646.34,1305.39,1290.58,1305.15,1367.44,1347.77,1383.83,1324.09,1369.38,1460.69,2015.46,1906.55,1467.85,1341.82,1175.59,488.354,2240.45,2488.88,2273.48,2005.02,2083.58,2035.5
35.1421,1402.24,2035.07,1868.4,1803.57,1732.92,1728.31,1806.85,1769.1,1709.49,1406.85,1449.1,1365.21,1669.07,1292.98,1285.58,1305.85,1375.17,1343.24,1389.73,1312.65,1371.89,1455.17,2006.06,1891.58,1477.87,1354.53,1180.21,492.38,2238.65,2478.53,2260.02,1998.9,2068.94,1998.17
35.482,1400.2,2031.38,1873.01,1811.12,1722.65,1723.5,1795.83,1779.32,1716.82,1407.24,1458.09,1365.62,1638.67,1310.77,1295.23,1279.58,1374.23,1337.71,1388.19,1310.28,1370.72,1467.07,2013.9,1900.31,1476.3,1344.14,1176.42,482.511,2236.83,2464.62,2258.07,1991.69,2057.59,1994.61
35.8204,1401.68,2029.8,1871.98,1800.17,1738.06,1724.11,1785.12,1757.95,1713.31,1410.41,1464.64,1359.46,1638.59,1309,1307.42,1305.61,1369.53,1333.63,1393.31,1335.69,1358.25,1455.54,2035.38,1889.69,1473.49,1344.06,1182.36,486.675,2223.28,2470.98,2250.33,2007.11,2062.55,2023.97
36.1602,1394.2,2038.38,1894.82,1802.19,1738.54,1700.47,1794.68,1755.03,1717.81,1407.05,1457.13,1360.5,1622.26,1308.85,1291.14,1301.57,1372.14,1338.07,1398.57,1325.82,1383.29,1453.49,2019.1,1862.69,1478.83,1323.76,1180.57,493.348,2221.34,2470.01,2250.8,1987.58,2052.81,2029.77
36.5001,1397.59,2032.33,1872.01,1799.42,1738.23,1711.69,1782.82,1744.04,1708.66,1406.31,1448.36,1362.81,1629.29,1292.04,1292.64,1298.82,1372.74,1351.29,1400.98,1327.91,1377.23,1467.51,2026.88,1882.68,1470.54,1322.33,1174.25,484.363,2208.53,2469.32,2244.52,1998.4,2060.69,2004.34
36.8399,1397.08,2025.67,1861.32,1804.39,1720.46,1717.55,1770.36,1737.05,1694.05,1414.64,1456.42,1351.78,1628.77,1298.61,1290.49,1303.21,1379.27,1353.6,1390.54,1321.74,1382.91,1451.46,2032.94,1863.5,1464.05,1322.23,1167.2,483.133,2221.03,2469.56,2251.55,2018.04,2055.83,1991.76
37.1797,1387.15,2028,1871.6,1782.63,1721.5,1712.9,1773.19,1740.02,1689.42,1404.82,1445.74,1356.16,1603.23,1298.05,1291.76,1298.42,1369.23,1336.55,1406.76,1332.19,1383.27,1456.75,2039.38,1852.72,1477.09,1312.7,1158.6,486.512,2204.62,2448.3,2236.94,1997.5,2052.21,1995.32
37.5195,1376.92,2012.02,1854.6,1773.9,1697.67,1697.55,1760.35,1748.37,1682.31,1407.89,1447.58,1347.52,1584.79,1302.38,1286.41,1284.96,1367.6,1337.96,1400.75,1320.53,1377.16,1446.37,2015.28,1856.9,1478.55,1330.58,1153.8,484.099,2172.94,2438.28,2253.64,1990.84,2059.33,2005.6
37.8593,1383.47,2008.14,1864.46,1790.32,1729.36,1708.08,1757.06,1726.7,1697.8,1394.59,1434.63,1349.48,1606.73,1301.35,1282.72,1286.47,1361.46,1341.5,1387.1,1334.12,1383.59,1455.06,2040.67,1855.51,1449.99,1313.2,1157.18,481.595,2191.37,2427.2,2218.22,1991.33,2027.37,2013.58
