Wavenumber,Original,Predicted_Baseline,Corrected_Predicted,Default_Baseline,Corrected_Default
59.5435,1236.93,1022.6901576732822,214.23984232671785,1230.3859770156896,6.544022984310459
59.8824,1233.01,1020.9608714541224,212.04912854587758,1228.6922078643588,4.317792135641184
60.2197,1230.19,1019.2872330200644,210.90276697993568,1226.998438713028,3.191561286972046
60.5585,1223.02,1017.6687223762951,205.35127762370485,1225.3046695616972,-2.2846695616972283
60.8958,1215.24,1016.1048195280024,199.13518047199761,1223.6339456186633,-8.393945618663338
61.233,1221.64,1014.5950044803736,207.04499551962647,1222.0493220610088,-0.40932206100865187
61.5718,1228.92,1013.1387572385968,215.7812427614033,1220.4688053260413,8.451194673958753
61.909,1217.8,1011.7355578078594,206.06444219214052,1218.8882885910737,-1.088288591073706
62.2478,1211.76,1010.3848861933484,201.3751138066516,1217.318710316338,-5.558710316337965
62.585,1216.11,1009.0862224002501,207.0237775997498,1215.805694821492,0.3043051785080024
62.9237,1214.36,1007.839046433751,206.52095356624886,1214.2896325761437,0.0703674238561689
63.2609,1221.25,1006.6428382990372,214.60716170096282,1212.7728653381346,8.47713466186542
63.5981,1212.41,1005.4970780012941,206.912921998706,1211.2560981001254,1.1539018998746542
63.9367,1202.79,1004.4012455457066,198.38875445429335,1209.7393308621163,-6.949330862116312
64.2739,1209.66,1003.3548209374591,206.30517906254101,1208.293554879518,1.3664451204820125
64.611,1199.41,1002.3572841817352,197.05271581826491,1206.84777889692,-7.437778896920008
64.9496,1213.46,1001.4081152837189,212.05188471628117,1205.4780913765267,7.981908623473373
65.2867,1206.1,1000.5067942485935,205.59320575140646,1204.1084038561332,1.9915961438666727
65.6253,1206.16,999.6528010815416,206.50719891845847,1202.7387163357398,3.4212836642602724
65.9623,1198.75,998.8456157877448,199.9043842122552,1201.3690288153464,-2.6190288153463825
66.2994,1199.57,998.084718372385,201.48528162761488,1200.0257830389637,-0.4557830389637729
66.6379,1197.18,997.3695888406431,199.81041115935693,1198.6871116295197,-1.5071116295196134
66.975,1202.52,996.6997071977,205.82029280229995,1197.363610842374,5.156389157625881
67.312,1204.26,996.0745534487357,208.18544655126425,1196.0401100552285,8.219889944771467
67.6505,1197.8,995.4936075989301,202.30639240106984,1194.7166092680832,3.0833907319167793
67.9875,1189.91,994.9563496534626,194.95365034653753,1193.3931084809376,-3.483108480937517
68.3244,1186.11,994.4622596175134,191.64774038248652,1192.104870011221,-5.99487001122111
68.6629,1190.19,994.0108174962622,196.17918250373782,1190.8777475888348,-0.6877475888347817
68.9998,1196.77,993.6015032948874,203.1684967051126,1189.657535170927,7.112464829072906
69.3367,1181.79,993.2337970185671,188.55620298143288,1188.4373227530193,-6.647322753019353
69.6737,1193.71,992.9071786724788,200.8028213275212,1187.285019362021,6.424980637978933
70.0121,1197.61,992.6211282617994,204.9888717382005,1186.132715971023,11.47728402897701
70.3489,1192.43,992.375125791705,200.05487420829502,1184.980412580025,7.44958741997516
70.6858,1187.86,992.168651267372,195.69134873262794,1183.828109189027,4.031890810972982
71.0226,1180.12,992.0011846939765,188.1188153060234,1182.6758057980287,-2.555805798028814
71.361,1181.49,991.8722060766942,189.61779392330584,1181.5493345005968,-0.059334500596833095
71.6978,1188.91,991.7811954207008,197.1288045792993,1180.4234588483985,8.486541151601614
72.0346,1175.01,991.7276327311708,183.28236726882915,1179.2975831961999,-4.287583196199876
72.3714,1177.44,991.7109980132792,185.72900198672085,1178.2152659191127,-0.7752659191125986
72.7097,1183.63,991.7307712722002,191.89922872779994,1177.1407500703724,6.489249929627704
73.0465,1180.88,991.7864325131081,189.09356748689197,1176.0662342216322,4.8137657783679515
73.3832,1174.93,991.8774617411771,183.052538258823,1174.9917183728921,-0.0617183728920736
73.7199,1182.29,992.0033389615807,190.2866610384193,1173.9178227040472,8.372177295952724
74.0566,1158.56,992.1635441794929,166.39645582050707,1172.8439270352023,-14.283927035202396
74.3949,1186.45,992.3575574000865,194.0924425999135,1171.9193586418792,14.530641358120874
74.7316,1178.86,992.5848586285347,186.27514137146522,1170.994790248556,7.865209751443899
75.0682,1176.24,992.8449278700107,183.39507212998933,1170.0702218552328,6.169778144767179
75.4049,1174.3,993.1372451296875,181.16275487031248,1169.1456534619097,5.154346538090294
75.7415,1175.77,993.461290412737,182.30870958726302,1168.2210850685865,7.548914931413492
76.0797,1183.98,993.8165437243304,190.16345627566966,1167.2965166752633,16.6834833247367
76.4163,1172.43,994.2024850696389,178.22751493036117,1166.37194828194,6.058051718060142
76.7529,1162.94,994.6185944538329,168.32140554616717,1165.447379888617,-2.5073798886169243
77.0895,1167.91,995.064351882082,172.84564811791813,1164.5482022657475,3.3617977342526046
77.4261,1180.71,995.5392373595558,185.1707626404442,1163.6490246428782,17.060975357121833
77.7626,1161.98,996.0427308914238,165.93726910857617,1162.749847020009,-0.7698470200089105
78.0992,1168.18,996.5743124828549,171.60568751714516,1161.8584262695251,6.321573730474938
78.4357,1177.14,997.1334621390167,180.00653786098337,1160.967005519041,16.172994480959005
78.7737,1173.79,997.7196598650776,176.0703401349224,1160.0755847685568,13.714415231443127
79.1102,1175.05,998.332385666205,176.71761433379493,1159.1841640180726,15.865835981927376
79.4467,1171.06,998.9711195475663,172.0888804524336,1158.2927432675883,12.767256732411624
79.7832,1166.14,999.6353415143286,166.50465848567148,1157.4013225171043,8.73867748289581
80.1197,1146.48,1000.3245315716587,146.15546842834135,1156.5099017666203,-10.029901766620242
80.4561,1170.28,1001.038169724723,169.24183027527693,1155.7220609787632,14.557939021236734
80.7925,1159.42,1001.7757359786879,157.6442640213122,1154.934220190906,4.485779809094083
81.1289,1154.16,1002.5367103387182,151.6232896612819,1154.1463794030487,0.013620596951341213
81.4653,1159.79,1003.3205728099786,156.4694271900214,1153.358401853756,6.431598146243914
81.8017,1149.89,1004.1268033976323,145.76319660236777,1152.5704243044634,-2.6804243044632585
82.1381,1154.13,1004.9548821068427,149.17511789315745,1151.8095530489322,2.320446951067879
82.4745,1157.52,1005.8042889427722,151.71571105722774,1151.048681793401,6.47131820659888
82.8108,1158.89,1006.6745039105833,152.21549608941677,1150.28781053787,8.602189462130127
83.1471,1150.0,1007.5650070154377,142.4349929845623,1149.526939282339,0.4730607176609283
83.4835,1156.78,1008.4752782624979,148.30472173750206,1148.761328038019,8.018671961981
83.8198,1157.17,1009.4047976569259,147.76520234307418,1147.9957167936986,9.174283206301425
84.156,1147.69,1010.353045203883,137.33695479611708,1147.2301055493785,0.4598944506215048
84.4923,1147.15,1011.3195009085302,135.83049909146985,1146.4598875211461,0.6901124788539619
84.8286,1144.37,1012.3036447760286,132.0663552239713,1145.682761512024,-1.3127615120240534
85.1648,1153.47,1013.3049568115384,140.1650431884616,1144.9188483692499,8.551151630750155
85.501,1146.89,1014.32291702022,132.56708297978014,1144.154935226476,2.7350647735240727
85.8373,1157.82,1015.3570054072328,142.46299459276713,1143.3910220837022,14.428977916297754
86.1735,1155.24,1016.406701977736,138.833298022264,1142.6271089409286,12.612891059071444
86.5096,1157.87,1017.4714867368883,140.39851326311157,1141.863195798155,16.006804201844943
86.8458,1141.38,1018.5508396898482,122.8291603101519,1141.0992826553813,0.28071734461877895
87.182,1149.27,1019.6442408417744,129.6257591582256,1140.3325573307823,8.937442669217717
87.5181,1136.09,1020.7511701978246,115.33882980217527,1139.5658320061832,-3.475832006183282
87.8542,1135.85,1021.8711077631561,113.97889223684376,1138.834287032886,-2.9842870328861864
88.1904,1135.92,1023.0035335429261,112.91646645707397,1138.1329058954695,-2.2129058954694756
88.5265,1148.15,1024.1479275422914,124.00207245770866,1137.453844479834,10.69615552016603
88.8625,1145.17,1025.3037697664088,119.8662302335913,1136.7747830641988,8.395216935801272
89.1986,1138.37,1026.470540220434,111.89945977956586,1136.0957216485635,2.274278351436351
89.5347,1142.05,1027.647718909523,114.40228109047689,1135.416660232928,6.633339767071902
